id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
163503,2026-06-30T14:58:10.691024+00:00,bench,20,3,0,0,0,1.300740408144071,500
163504,2026-06-30T14:58:10.809903+00:00,bench,20,3,0,0,2,1.9435577765255523,500
163505,2026-06-30T14:58:10.901709+00:00,bench,20,3,0,2,0,1.33441243267693,500
163506,2026-06-30T14:58:10.987537+00:00,bench,20,3,0,2,2,1.920367315288326,500
163507,2026-06-30T14:58:11.087196+00:00,bench,20,3,2,0,0,2.8424793887782642,500
163508,2026-06-30T14:58:11.197461+00:00,bench,20,3,2,0,2,4.421065126237228,500
163509,2026-06-30T14:58:11.272947+00:00,bench,20,3,2,2,0,2.9174741487126687,500
163510,2026-06-30T14:58:11.364322+00:00,bench,20,3,2,2,2,4.530778256085789,500
163511,2026-06-30T14:58:11.504706+00:00,bench,20,9.5,0,0,0,1.3285280635037544,500
163512,2026-06-30T14:58:11.601300+00:00,bench,20,9.5,0,0,2,1.8814962979304601,500
163513,2026-06-30T14:58:11.686179+00:00,bench,20,9.5,0,2,0,1.301584723770865,500
163514,2026-06-30T14:58:11.772531+00:00,bench,20,9.5,0,2,2,1.8332507393887603,500
163515,2026-06-30T14:58:11.854648+00:00,bench,20,9.5,2,0,0,2.946880862985625,500
163516,2026-06-30T14:58:11.930736+00:00,bench,20,9.5,2,0,2,4.60516338383636,500
163517,2026-06-30T14:58:12.024934+00:00,bench,20,9.5,2,2,0,2.9168641807192937,500
163518,2026-06-30T14:58:12.104002+00:00,bench,20,9.5,2,2,2,4.531432172933428,500
163519,2026-06-30T14:58:12.190062+00:00,bench,60,3,0,0,0,1.3487411248753778,500
163520,2026-06-30T14:58:12.286903+00:00,bench,60,3,0,0,2,1.839243447878315,500
163521,2026-06-30T14:58:12.381109+00:00,bench,60,3,0,2,0,1.3852477505202643,500
163522,2026-06-30T14:58:12.461676+00:00,bench,60,3,0,2,2,1.9139441264871244,500
163523,2026-06-30T14:58:12.541755+00:00,bench,60,3,2,0,0,2.8746786234132675,500
163524,2026-06-30T14:58:12.630788+00:00,bench,60,3,2,0,2,4.492301810051262,500
163525,2026-06-30T14:58:12.714308+00:00,bench,60,3,2,2,0,2.7639967688747427,500
163526,2026-06-30T14:58:12.805943+00:00,bench,60,3,2,2,2,4.420723579825413,500
163527,2026-06-30T14:58:12.908170+00:00,bench,60,9.5,0,0,0,1.298537316949688,500
163528,2026-06-30T14:58:13.013772+00:00,bench,60,9.5,0,0,2,1.8461059102540904,500
163529,2026-06-30T14:58:13.096728+00:00,bench,60,9.5,0,2,0,1.3284027175650401,500
163530,2026-06-30T14:58:13.174655+00:00,bench,60,9.5,0,2,2,1.9257950220522715,500
163531,2026-06-30T14:58:13.276665+00:00,bench,60,9.5,2,0,0,2.893306518052354,500
163532,2026-06-30T14:58:13.356671+00:00,bench,60,9.5,2,0,2,4.555570669304918,500
163559,2026-06-30T14:59:18.101768+00:00,bench,60,9.5,2,2,0,2.8878469393648123,500
163560,2026-06-30T14:59:18.180547+00:00,bench,60,9.5,2,2,2,4.401454856988558,500
163561,2026-06-30T14:59:19.643219+00:00,bench,40.196192985575024,7.057518502436756,1.9826057357630693,1.020757873647235,1.998520325833898,4.373048357718824,500
163563,2026-06-30T14:59:21.436269+00:00,bench,21.428671721319844,9.08955724691491,1.969235572308954,0.17147735236912887,1.9777164668887035,4.437672670180323,500
163565,2026-06-30T14:59:23.303002+00:00,bench,45.67955994228804,6.349363996078268,1.9906835759451353,0.021614365476250175,1.9662035361859094,4.365997216988508,500
163567,2026-06-30T14:59:25.380768+00:00,bench,21.874993308370996,8.99535109964217,1.9989333731144718,1.2668590018337604,1.971934908773675,4.3830879173134125,500
163570,2026-06-30T14:59:27.267554+00:00,bench,43.32713948220544,9.432867369086576,1.9733872082286008,0.11218497921697579,1.9572691346251585,4.410813013337465,500
163572,2026-06-30T14:59:29.094481+00:00,bench,42.25523033201509,9.412093128778809,1.9888883229506598,0.2602524827578627,1.981546792174378,4.473518431933895,500
163574,2026-06-30T14:59:31.214202+00:00,bench,59.434908931436006,7.668027351486692,1.9796554617793287,0.08710069860332026,1.9709722198819255,4.522666401846153,500
163576,2026-06-30T14:59:32.980623+00:00,bench,20.41015610656697,8.99528946466376,1.9949611876557165,0.6879256791721973,1.962113631596513,4.502049864893799,500
163577,2026-06-30T14:59:35.209839+00:00,bench,20.90630944422918,5.278860300646835,1.9776361474081845,1.938444788935856,1.9719067747582182,4.467777931210278,500
163578,2026-06-30T14:59:37.675026+00:00,bench,58.631235931561115,7.735248951618365,1.9911215959804074,0.3117165929195176,1.9803898852672388,4.5136682375886465,500
163580,2026-06-30T14:59:39.898484+00:00,bench,24.101274409318254,9.30341970512549,1.9949973285601326,0.41067358076284277,1.993429972539784,4.415092538716096,500
163581,2026-06-30T14:59:42.340174+00:00,bench,23.27392137339882,6.351078542013031,1.997806218380831,0.5229769237044404,1.9949915329189116,4.3914280942350175,500
163582,2026-06-30T14:59:44.362144+00:00,bench,55.22755121138032,9.17810780270334,1.9822290119662724,0.14791483970913788,1.9729848655116546,4.470874464763869,500
163584,2026-06-30T14:59:46.626989+00:00,bench,58.899319422473425,7.017847832223544,1.9901679577577875,0.8612466859900916,1.9879445658665893,4.462393683964152,500
