id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
179056,2026-07-01T15:57:07.191086+00:00,micro,20,3,0,0,0,0.10779014986847316,10
179057,2026-07-01T15:57:07.300991+00:00,micro,20,3,0,0,2,0.11987331221104663,10
179058,2026-07-01T15:57:07.379917+00:00,micro,20,3,0,2,0,0.12764806446428295,10
179059,2026-07-01T15:57:07.462988+00:00,micro,20,3,0,2,2,0.182933195479968,10
179060,2026-07-01T15:57:07.549440+00:00,micro,20,3,2,0,0,0.13471351931344058,10
179061,2026-07-01T15:57:07.633738+00:00,micro,20,3,2,0,2,0.2004823572254761,10
179062,2026-07-01T15:57:07.741950+00:00,micro,20,3,2,2,0,0.14551712743026723,10
179063,2026-07-01T15:57:07.855209+00:00,micro,20,3,2,2,2,0.2214454030291096,10
179064,2026-07-01T15:57:07.945078+00:00,micro,20,9.5,0,0,0,0.09139930179479555,10
179065,2026-07-01T15:57:08.024917+00:00,micro,20,9.5,0,0,2,0.12553221395172448,10
179066,2026-07-01T15:57:08.114359+00:00,micro,20,9.5,0,2,0,0.07373297106784278,10
179067,2026-07-01T15:57:08.205172+00:00,micro,20,9.5,0,2,2,0.1647202171933005,10
179068,2026-07-01T15:57:08.290448+00:00,micro,20,9.5,2,0,0,0.15785915089600355,10
179070,2026-07-01T15:57:08.407556+00:00,micro,20,9.5,2,0,2,0.20145112713263233,10
179072,2026-07-01T15:57:08.521723+00:00,micro,20,9.5,2,2,0,0.15610832409619596,10
179074,2026-07-01T15:57:08.632666+00:00,micro,20,9.5,2,2,2,0.23130437837749107,10
179076,2026-07-01T15:57:08.808433+00:00,micro,60,3,0,0,0,0.07898343220277723,10
179078,2026-07-01T15:57:08.939012+00:00,micro,60,3,0,0,2,0.11806171988276001,10
179080,2026-07-01T15:57:09.033252+00:00,micro,60,3,0,2,0,0.09807732774029859,10
179083,2026-07-01T15:57:09.210758+00:00,micro,60,3,0,2,2,0.16030593887048492,10
179085,2026-07-01T15:57:09.321035+00:00,micro,60,3,2,0,0,0.06856808392639412,10
179087,2026-07-01T15:57:09.430369+00:00,micro,60,3,2,0,2,0.20378451708897885,10
179089,2026-07-01T15:57:09.543039+00:00,micro,60,3,2,2,0,0.139012070059884,10
179091,2026-07-01T15:57:09.701153+00:00,micro,60,3,2,2,2,0.179205294620332,10
179093,2026-07-01T15:57:09.808940+00:00,micro,60,9.5,0,0,0,0.13564493634122868,10
179094,2026-07-01T15:57:09.890814+00:00,micro,60,9.5,0,0,2,0.15466478370701897,10
179096,2026-07-01T15:57:10.000358+00:00,micro,60,9.5,0,2,0,0.07946933303916039,10
179099,2026-07-01T15:57:10.119283+00:00,micro,60,9.5,0,2,2,0.17153632097595167,10
179102,2026-07-01T15:57:10.251948+00:00,micro,60,9.5,2,0,0,0.11595223809961969,10
179104,2026-07-01T15:57:10.419176+00:00,micro,60,9.5,2,0,2,0.18834526093274415,10
179115,2026-07-01T15:58:15.201971+00:00,micro,60,9.5,2,2,0,0.13803289968403015,10
179116,2026-07-01T15:58:15.285204+00:00,micro,60,9.5,2,2,2,0.16619236052563913,10
179117,2026-07-01T15:58:17.114837+00:00,micro,23.170026710354033,5.787501965224065,1.983421976563171,1.3207096050731084,1.9540672281349072,0.20417809589415203,10
179118,2026-07-01T15:58:19.197085+00:00,micro,25.16432273012628,6.362609191950376,1.9269456275119274,1.4054162091132867,1.9264133414985098,0.2288040867350164,10
