id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3
551246,2026-07-11T17:37:43.242743+00:00,micro,20.0,3.0,0.0,0.0,0.0,0.1373409317835442,10,1.3793025665279384,0.6451715236405454,1.3793025665279384,20.0,3.0,0.0,0.0,0.0
551247,2026-07-11T17:37:43.397804+00:00,micro,20.0,3.0,0.0,0.0,2.0,0.1449165986182157,10,1.455384303942472,0.9613190517818643,1.455384303942472,20.0,3.0,0.0,0.0,2.0
551248,2026-07-11T17:37:43.542636+00:00,micro,20.0,3.0,0.0,2.0,0.0,0.0804090215458278,10,0.8075405368951291,0.6528983483906999,1.455384303942472,20.0,3.0,0.0,0.0,2.0
551250,2026-07-11T17:37:43.743331+00:00,micro,20.0,3.0,0.0,2.0,2.0,0.1213067085867466,10,1.2182723119605623,0.9549137678672963,1.455384303942472,20.0,3.0,0.0,0.0,2.0
551251,2026-07-11T17:37:43.859347+00:00,micro,20.0,3.0,2.0,0.0,0.0,0.0993964575182726,10,0.9982296404891965,1.1639958730891935,1.455384303942472,20.0,3.0,0.0,0.0,2.0
551252,2026-07-11T17:37:43.997902+00:00,micro,20.0,3.0,2.0,0.0,2.0,0.2319324014993792,10,2.3292761487396,1.9661108885489422,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551319,2026-07-11T17:38:49.118537+00:00,micro,20.0,3.0,2.0,2.0,0.0,0.1006303598439406,10,1.0106216100392573,1.162093177332886,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551320,2026-07-11T17:38:49.253562+00:00,micro,20.0,3.0,2.0,2.0,2.0,0.2198907367576503,10,2.208342797932629,1.9624052098511875,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551322,2026-07-11T17:38:49.499099+00:00,micro,20.0,9.5,0.0,0.0,0.0,0.0669091229149508,10,0.6719622749187042,0.6476752656840413,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551323,2026-07-11T17:38:49.640582+00:00,micro,20.0,9.5,0.0,0.0,2.0,0.1286653580062194,10,1.2921745630859205,0.9586959037053027,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551325,2026-07-11T17:38:49.912309+00:00,micro,20.0,9.5,0.0,2.0,0.0,0.1427914393139356,10,1.4340415210982864,0.6445612986061805,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551327,2026-07-11T17:38:50.138544+00:00,micro,20.0,9.5,0.0,2.0,2.0,0.1571101329328942,10,1.5778428671462617,0.9564302354088513,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551329,2026-07-11T17:38:50.417859+00:00,micro,20.0,9.5,2.0,0.0,0.0,0.1361875663938623,10,1.367719422147937,1.1677773305470192,2.3292761487396,20.0,3.0,2.0,0.0,2.0
551330,2026-07-11T17:38:50.599942+00:00,micro,20.0,9.5,2.0,0.0,2.0,0.2406889313397164,10,2.417217186606526,1.9655657914145188,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551332,2026-07-11T17:38:50.812047+00:00,micro,20.0,9.5,2.0,2.0,0.0,0.1235487620097456,10,1.2407890518754272,1.1652659276007393,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551333,2026-07-11T17:38:51.009013+00:00,micro,20.0,9.5,2.0,2.0,2.0,0.1925572445425416,10,1.9338350057189455,1.960736188657277,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551334,2026-07-11T17:38:51.145710+00:00,micro,60.0,3.0,0.0,0.0,0.0,0.0895391956711251,10,0.8992340505500177,0.6493252778822657,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551335,2026-07-11T17:38:51.304147+00:00,micro,60.0,3.0,0.0,0.0,2.0,0.161360359030296,10,1.620527503753429,0.9546016431591479,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551337,2026-07-11T17:38:51.541554+00:00,micro,60.0,3.0,0.0,2.0,0.0,0.0894326011345551,10,0.8981635312520958,0.6407544060213771,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551338,2026-07-11T17:38:51.705065+00:00,micro,60.0,3.0,0.0,2.0,2.0,0.1780520229592077,10,1.78816037618111,0.9594204559053071,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551339,2026-07-11T17:38:51.909914+00:00,micro,60.0,3.0,2.0,0.0,0.0,0.1059016396237612,10,1.0635605965072705,1.1660715035049096,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551341,2026-07-11T17:38:52.143810+00:00,micro,60.0,3.0,2.0,0.0,2.0,0.1986178954865992,10,1.9947015754546418,1.9569151330783763,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551343,2026-07-11T17:38:52.402703+00:00,micro,60.0,3.0,2.0,2.0,0.0,0.1116491894475653,10,1.1212827199869226,1.1670395037370322,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551345,2026-07-11T17:38:52.615667+00:00,micro,60.0,3.0,2.0,2.0,2.0,0.2244663024376254,10,2.2542947905669397,1.9644557842500723,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551346,2026-07-11T17:38:52.734812+00:00,micro,60.0,9.5,0.0,0.0,0.0,0.0984776952220307,10,0.9890025937757462,0.6470942588964474,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551347,2026-07-11T17:38:52.844487+00:00,micro,60.0,9.5,0.0,0.0,2.0,0.1495045917357597,10,1.501461104209231,0.9568462038730896,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551349,2026-07-11T17:38:53.113719+00:00,micro,60.0,9.5,0.0,2.0,0.0,0.1300522075139068,10,1.3061025673633055,0.6418595135393294,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551351,2026-07-11T17:38:53.309547+00:00,micro,60.0,9.5,0.0,2.0,2.0,0.1643635918184643,10,1.6506886992456073,0.9559784838051116,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551417,2026-07-11T17:39:58.401932+00:00,micro,60.0,9.5,2.0,0.0,0.0,0.1215652230251147,10,1.2208685491033802,1.1655884503050407,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551419,2026-07-11T17:39:58.629804+00:00,micro,60.0,9.5,2.0,0.0,2.0,0.1982990779591744,10,1.9914997198379623,1.9636816384741191,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551420,2026-07-11T17:39:58.813605+00:00,micro,60.0,9.5,2.0,2.0,0.0,0.1561734775606189,10,1.568436121887189,1.1640205508274575,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551421,2026-07-11T17:39:59.004944+00:00,micro,60.0,9.5,2.0,2.0,2.0,0.2290343925047327,10,2.3001717062967835,1.968101584614077,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551427,2026-07-11T17:40:00.802111+00:00,micro,28.850776119655585,5.767196610054919,1.9649975048241788,0.6630164766526594,1.9893741189516692,0.1877575049005286,10,1.8856316542422833,1.958533354891132,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551431,2026-07-11T17:40:02.643241+00:00,micro,31.89379680759293,4.507777854981562,1.9032286100245208,0.6131797984400345,1.9994783070124769,0.2313326820305471,10,2.3232532203102183,1.9715195560035534,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551436,2026-07-11T17:40:04.498698+00:00,micro,29.45218190261674,7.780003887288281,1.997771713583988,0.3043924410046141,1.9992677463453423,0.2078377488535004,10,2.0872957296287273,1.9632632106479664,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551440,2026-07-11T17:40:06.304261+00:00,micro,27.86092917630736,3.8076120200120815,1.8647976867596652,1.0818806202219204,1.998962622430233,0.1991103627675231,10,1.9996473798531436,1.9599079099999308,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551445,2026-07-11T17:40:08.228005+00:00,micro,46.79834638052917,3.8938474468528734,1.9616653691026564,0.7946311965181296,1.999139924320632,0.2091800566324339,10,2.100776405349432,1.9677432398042323,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551450,2026-07-11T17:40:10.296985+00:00,micro,37.99027816579221,7.154383977710873,1.969103274749045,0.2222891132474882,1.9998898896768444,0.2183545329046229,10,2.19291484146201,2.6318565443690343,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551525,2026-07-11T17:41:17.295964+00:00,micro,41.26144577719984,8.648561819110974,1.9689912871711348,0.7441641451698997,1.9998908816854464,0.2169519114374852,10,2.178828440821163,1.961755764924974,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551530,2026-07-11T17:41:19.598091+00:00,micro,38.11840708220613,5.801405452320769,1.895128861089519,1.5826509522094838,1.9994442223960984,0.2163818279488302,10,2.1731031438625235,2.180162225061086,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551535,2026-07-11T17:41:21.708703+00:00,micro,51.21331856081213,5.5387802034384,1.995141605725122,1.8310365689626973,1.997950343916916,0.2049099759175484,10,2.0578923706131196,1.9667780937045387,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551540,2026-07-11T17:41:23.637227+00:00,micro,50.147885062741054,5.850592844269986,1.892684420581146,1.2247941093829815,1.999292169069122,0.1828705566288851,10,1.8365524743792065,1.9598015954966599,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551545,2026-07-11T17:41:26.000917+00:00,micro,26.679196239590457,3.9501259325821194,1.9979028614651628,0.6941939286049179,1.999417447984184,0.2087382016395194,10,2.096338895585623,1.9627243120112583,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551550,2026-07-11T17:41:28.198990+00:00,micro,28.857308523591733,6.605938599306864,1.9297769455816864,0.278012016035142,1.998092082083776,0.221005301824649,10,2.2195362741782727,1.9629549819922456,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551554,2026-07-11T17:41:30.340789+00:00,micro,24.213593932743493,7.270988511494909,1.934883981231149,0.5879187969620443,1.9995807196751865,0.2153530776607007,10,2.16277149768606,1.9638965351697213,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551558,2026-07-11T17:41:32.112369+00:00,micro,26.844750516718232,9.394858615576034,1.98710786134354,1.142057730805953,1.9991730561072951,0.2399137691712596,10,2.40943230299941,1.9621618362317876,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551562,2026-07-11T17:41:33.974492+00:00,micro,28.62339043536931,5.456904216645611,1.996459005562328,0.6557258312769894,1.9979736819058291,0.19317231389355,10,1.9400120916278687,1.9616771810934062,2.417217186606526,20.0,9.5,2.0,0.0,2.0
551631,2026-07-11T17:42:40.939376+00:00,micro,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472,0.4309537112246162,10,4.328029176936706,6.9853401783487685,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551635,2026-07-11T17:42:43.102788+00:00,micro,34.66896058906188,8.960814403865488,1.9748205551036595,1.4760056799468044,1.701171879517584,0.2486608044942295,10,2.497277988286427,3.020571959599312,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551639,2026-07-11T17:42:44.931014+00:00,micro,43.31730666549673,9.420172658082445,1.960226889234472,1.8312851305758209,1.4490553520508558,0.1726114633785645,10,1.7335213279710961,1.6528889651732481,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551643,2026-07-11T17:42:46.918090+00:00,micro,34.76235895559154,9.46409710217403,1.959576748523548,1.5037417809828235,1.9850871463999,0.2094841080359864,10,2.103829966118463,2.082046207563782,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551648,2026-07-11T17:42:49.113754+00:00,micro,37.04761560841163,9.030783284572154,1.9784777815710364,1.2426140399032106,1.962950291272134,0.2294878490841329,10,2.304725729745244,2.859002843843758,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551652,2026-07-11T17:42:51.243068+00:00,micro,41.81054553572904,8.600019359165284,1.9418431415017297,0.8937590203226216,1.9988741238141137,0.2179149388942978,10,2.188500038542023,1.9616049875092658,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551662,2026-07-11T17:42:53.400221+00:00,micro,34.5476244736764,9.48021552708791,1.981255950400531,1.311697027061727,1.980121974051439,0.2010290454067017,10,2.0189165362088213,2.052157441608936,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551668,2026-07-11T17:42:55.415775+00:00,micro,23.30995757250845,8.913410851676497,1.9593733137338984,1.7744507646208347,1.9800735771639488,0.2249590946471862,10,2.2592438581943783,1.9481311949325413,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551672,2026-07-11T17:42:57.795066+00:00,micro,53.61064199535142,7.676457226297621,1.9803630973807889,0.5272613058998004,1.9987697521072445,0.2200871659179883,10,2.2103155182387804,1.9636099569847276,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551675,2026-07-11T17:43:00.469320+00:00,micro,31.549836738839225,7.149562052987866,1.945208667999208,0.4749181998769958,1.9630976486878569,0.1964242162602986,10,1.972670653225687,1.979613362484703,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551677,2026-07-11T17:43:02.907124+00:00,micro,51.963619279559616,6.484873892038676,1.9745128850546807,0.9304099119285512,1.9983730168371767,0.203848664669678,10,2.0472337176604825,1.9608533989957113,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551682,2026-07-11T17:43:05.434989+00:00,micro,35.70663601487829,9.188759190558994,1.8585143799833272,1.0692354568127385,1.9990350034699444,0.2525213098289894,10,2.53604869449309,2.8012880454042066,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551756,2026-07-11T17:44:12.508478+00:00,micro,22.754045086763384,8.806411791011207,1.995163900428499,1.4593788403844214,1.997242157795426,0.2588437283982571,10,2.599544172833071,1.960852160704482,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551758,2026-07-11T17:44:14.712962+00:00,micro,22.14269281487133,9.398233573770264,1.991278165329721,1.47348033289313,1.947548714975639,0.1888359545622661,10,1.896462426736605,1.9253502443932085,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551760,2026-07-11T17:44:16.842413+00:00,micro,27.70238699179841,9.377022570635829,1.9992201575919333,1.922158330329083,1.9737895093125823,0.2140251342542037,10,2.14943508205964,1.944995144167968,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551764,2026-07-11T17:44:19.411847+00:00,micro,57.49943842676136,9.257648654606824,1.948380028781087,1.769400763642892,1.9941596178262937,0.2343842556773403,10,2.3538998986770476,1.9635243758261962,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551774,2026-07-11T17:44:21.339754+00:00,micro,55.42283906685132,9.446180021216971,1.970605929404948,1.9408908917451893,1.951873051097284,0.2104420898074657,10,2.1134508904774947,1.927383905912599,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551776,2026-07-11T17:44:23.402538+00:00,micro,20.283022591432115,9.368551054997752,1.9978558003561775,0.1316464397659673,1.9797332535542804,0.1926190883104563,10,1.9344560970913478,1.9489161101870638,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551778,2026-07-11T17:44:25.814319+00:00,micro,32.28470337342503,9.492090810413483,1.998188719893968,1.303296039266356,1.9893422880960927,0.2016074180077941,10,2.0247250799745906,1.960247675593374,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551780,2026-07-11T17:44:28.011486+00:00,micro,48.652595964417806,9.42541659689894,1.9867719039007243,1.919541443215889,1.9243119723527675,0.2321233099239145,10,2.331193424794989,1.9116033849936234,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551782,2026-07-11T17:44:30.163314+00:00,micro,33.62703161317489,9.128873859855377,1.9787892071896875,1.8057867934248,1.997531246498878,0.2293946538707285,10,2.30378977863899,2.208314529262941,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551784,2026-07-11T17:44:32.134335+00:00,micro,39.93801825195696,9.11927120250044,1.964698748445321,1.807130409516719,1.9851741809253245,0.2026521287801686,10,2.035217015851992,1.9549698855177795,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551787,2026-07-11T17:44:34.741825+00:00,micro,44.7142308277065,9.261978655932062,1.9789099108956367,1.6858429357271902,1.974256133654308,0.1801088444388115,10,1.808816848427698,1.9456845729090693,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551789,2026-07-11T17:44:37.296366+00:00,micro,36.122066218518,6.458307755785267,1.9764322356496289,1.2402562850442242,1.5782564610118706,0.2223384893609567,10,2.232925356126475,2.8644246268539244,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551792,2026-07-11T17:44:39.524545+00:00,micro,41.17383519360061,9.28733841611004,1.9925145322378788,1.163918912278576,1.981483037186751,0.2246280039299232,10,2.2559187440412707,1.9502800154421163,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551794,2026-07-11T17:44:41.902126+00:00,micro,22.619109301309027,9.21822610815338,1.990569970284088,1.4622913590548712,1.9985370193284235,0.2484530989408161,10,2.495192020183657,1.9618287804092878,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551797,2026-07-11T17:44:44.146029+00:00,micro,21.217677616097845,9.227021325820486,1.9746454213813047,1.3296876973410798,1.9951174522851205,0.2218700897615105,10,2.228221261278079,1.9603866752761892,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551800,2026-07-11T17:44:47.132211+00:00,micro,20.944503907366148,9.208977609086322,1.98289311833946,1.0674757076310808,1.983934335642064,0.243389755673823,10,2.444341321322938,1.9530830399336112,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551802,2026-07-11T17:44:49.815676+00:00,micro,26.855624997376623,9.209280669927164,1.9796589059432117,0.168592755986183,1.9492056908669932,0.1802678032229736,10,1.8104132571320781,1.9322989506755202,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551804,2026-07-11T17:44:52.419196+00:00,micro,23.94941015758446,9.260162886286947,1.9453422393896496,1.947429602681082,1.968727630976228,0.2170776565393737,10,2.1800912875159595,1.9376824317321006,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551806,2026-07-11T17:44:54.798473+00:00,micro,44.89578139524191,9.058011335260684,1.9997780214548768,1.7920157854212633,1.998939561571144,0.2349670920244892,10,2.359753271441077,1.9587442323865745,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551808,2026-07-11T17:44:57.203195+00:00,micro,27.0161710816876,9.441402464006863,1.9813412136746824,1.7826726575773362,1.9660616804826296,0.2060327257446058,10,2.0691680456643837,1.9391050734180881,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551812,2026-07-11T17:44:59.608811+00:00,micro,59.40359484521282,9.263733047150868,1.9495001040585307,1.9891245743411816,1.998448723365654,0.1985862878980071,10,1.9943841432987601,1.9623549539714897,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551817,2026-07-11T17:45:02.897090+00:00,micro,23.73236502571205,8.918738002679833,1.9853105414575425,1.3485041443507872,1.9918229085730907,0.2137882384737924,10,2.147055959145024,1.9618881077568497,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551819,2026-07-11T17:45:05.533958+00:00,micro,32.41185807508233,9.389923176619064,1.966010916598256,1.1075907212259173,1.988124603769895,0.1585172500086544,10,1.5919744167782404,1.9729488463402072,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551822,2026-07-11T17:45:08.422182+00:00,micro,22.85982262106231,5.3580377971062045,1.977606654238216,1.8824043570419016,1.9998460958166,0.2065073998128975,10,2.0739351544363767,1.9681606681454744,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551824,2026-07-11T17:45:10.906314+00:00,micro,59.19444117733313,9.495714783712618,1.9774683403819504,1.484817211922111,1.9939560605160689,0.1809212801949137,10,1.8169760673071573,1.956296921396132,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551832,2026-07-11T17:45:13.503080+00:00,micro,25.821808902074817,6.904435230305605,1.9788320014154208,1.8299332344135044,1.9882479795642565,0.2299214343602989,10,2.309080187491075,1.958946376992398,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551847,2026-07-11T17:45:16.198513+00:00,micro,46.48041578480725,3.288366247067022,1.987502190797389,1.9566913536422328,1.983634191343312,0.2462209292955996,10,2.472774542155874,1.9499835721498375,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551850,2026-07-11T17:45:19.144246+00:00,micro,23.759183184682318,3.7331503689974737,1.963734644099276,1.805995771908994,1.997636392833508,0.2094418701526558,10,2.1034057748731727,1.9640112914991341,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551852,2026-07-11T17:45:21.730356+00:00,micro,57.52592865991354,3.215762438049592,1.987095829408256,1.7532642864951762,1.9734739104813648,0.1845917952201655,10,1.8538387180046807,1.9453730786359744,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551854,2026-07-11T17:45:24.617483+00:00,micro,24.194393404631963,9.0967262862513,1.987707071761989,1.552812715845705,1.9852369349375487,0.222692289811513,10,2.236478542078789,1.9569216970621053,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551864,2026-07-11T17:45:27.419473+00:00,micro,24.50295723386799,9.303661979575503,1.998232606054824,1.7181179492216907,1.9753490675546823,0.2305834234806812,10,2.315728484403724,1.9495302750251042,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551866,2026-07-11T17:45:30.195993+00:00,micro,36.28389141101564,9.496273333809665,1.9329498981279487,1.86122704364959,1.9987079797090743,0.2659044537152294,10,2.670454399120145,2.1063175842819732,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551868,2026-07-11T17:45:32.904133+00:00,micro,36.67617340830422,9.48878227947904,1.9880510268831075,1.736840961635207,1.9855686795808016,0.2392627465094361,10,2.402894141239038,2.082525194591056,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551871,2026-07-11T17:45:35.816914+00:00,micro,22.28729253736485,8.419905525584412,1.990517915652464,1.96859197889766,1.9937474471226064,0.2469492509429386,10,2.480089010642339,1.9644619814832118,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551872,2026-07-11T17:45:38.696125+00:00,micro,39.4256096521249,9.111690126073388,1.9858891690947251,1.798995896683531,1.988138881982064,0.203084353191861,10,2.0395578065588946,1.9635286614356575,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551874,2026-07-11T17:45:41.504806+00:00,micro,20.47177855102296,4.890626068704954,1.982478107581893,1.844190227115749,1.9997376534827207,0.211545063331565,10,2.124527953905317,1.9646691278533204,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551875,2026-07-11T17:45:44.629800+00:00,micro,23.444774907536363,8.92455262422315,1.8979558327704216,1.943176888655004,1.9973580448103083,0.1872988159892573,10,1.8810250829576824,1.965713348944633,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551877,2026-07-11T17:45:47.096842+00:00,micro,31.546467828195315,8.93535402389698,1.9805693039535464,1.4919461041949489,1.9722270695107007,0.2013925079465957,10,2.0225667576512003,1.9591203623388178,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551879,2026-07-11T17:45:50.175853+00:00,micro,30.84225705649383,7.212114728444591,1.9922182098268224,1.9570663220811508,1.9822845241842824,0.2033747517207928,10,2.0424742527419077,1.9560453584835606,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551881,2026-07-11T17:45:54.596050+00:00,micro,40.79315579087415,9.227133688256348,1.985418677408028,1.9562924866509943,1.9837160969380128,0.2161500837715058,10,2.1707757580321636,1.955174511099005,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551883,2026-07-11T17:45:59.116735+00:00,micro,41.329272237952495,9.01090012473158,1.9804006785698256,1.511325239791153,1.99713687241216,0.2016125645770772,10,2.02477676650481,1.9621548326522096,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551885,2026-07-11T17:46:01.922759+00:00,micro,28.87311846491953,7.217384428880389,1.9951480508351176,1.4990909664166248,1.9878195724152272,0.2303890547832398,10,2.313776457140241,1.9529744204226456,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551887,2026-07-11T17:46:04.802705+00:00,micro,31.078498175681005,9.405867851184134,1.9686078056947087,1.9101090685661917,1.998624084793991,0.2018296762812824,10,2.026957199729957,1.9647169684555916,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551894,2026-07-11T17:46:07.859569+00:00,micro,33.45598318191331,7.677717490057405,1.9993954966344152,1.0754034395499346,1.9888164993259771,0.2901942934447552,10,2.9143950644732066,3.9024048122906234,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551896,2026-07-11T17:46:11.105587+00:00,micro,20.169396819748616,3.3790611960921364,1.9580499050708076,0.0124567138365276,1.980722599775401,0.1983393617878063,10,1.9919042866885,1.9513810211910034,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551897,2026-07-11T17:46:14.740467+00:00,micro,23.41333686777955,4.944097045202415,1.975995894398564,0.4004909961266247,1.92250412769094,0.2007754794908162,10,2.016369996630103,1.91355756812217,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
551903,2026-07-11T17:46:18.103273+00:00,micro,33.62753573046429,8.255546115280673,1.983252198130964,1.182330292817025,1.9862742086290763,0.3130193461036146,10,3.143625005647031,4.713674676196374,4.328029176936706,34.97069992419425,8.667818394009974,1.9761894429776856,1.169615283967513,1.9990172357971472
