id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
170367,2026-07-01T00:49:21.026918+00:00,micro,20,3,0,0,0,0.09317381695347923,10
170368,2026-07-01T00:49:21.152526+00:00,micro,20,3,0,0,2,0.15474272452014026,10
170369,2026-07-01T00:49:21.228946+00:00,micro,20,3,0,2,0,0.08221912968612471,10
170370,2026-07-01T00:49:21.312925+00:00,micro,20,3,0,2,2,0.17520872891643496,10
170371,2026-07-01T00:49:21.388376+00:00,micro,20,3,2,0,0,0.1870632570820681,10
170372,2026-07-01T00:49:21.474444+00:00,micro,20,3,2,0,2,0.22368264744058822,10
170373,2026-07-01T00:49:21.550479+00:00,micro,20,3,2,2,0,0.10503704009090295,10
170374,2026-07-01T00:49:21.623136+00:00,micro,20,3,2,2,2,0.19919211492827926,10
170375,2026-07-01T00:49:21.704735+00:00,micro,20,9.5,0,0,0,0.06849403619567553,10
170376,2026-07-01T00:49:21.779309+00:00,micro,20,9.5,0,0,2,0.18799435264670522,10
170377,2026-07-01T00:49:21.854491+00:00,micro,20,9.5,0,2,0,0.12132869396322869,10
170378,2026-07-01T00:49:21.925021+00:00,micro,20,9.5,0,2,2,0.15063024472597072,10
170379,2026-07-01T00:49:22.003290+00:00,micro,20,9.5,2,0,0,0.1346280871866711,10
170380,2026-07-01T00:49:22.076175+00:00,micro,20,9.5,2,0,2,0.18395532311870405,10
170381,2026-07-01T00:49:22.154552+00:00,micro,20,9.5,2,2,0,0.17321884656064096,10
170382,2026-07-01T00:49:22.230857+00:00,micro,20,9.5,2,2,2,0.21089573123479494,10
170383,2026-07-01T00:49:22.314845+00:00,micro,60,3,0,0,0,0.07356904135101386,10
170384,2026-07-01T00:49:22.400460+00:00,micro,60,3,0,0,2,0.14738074265661036,10
170385,2026-07-01T00:49:22.494625+00:00,micro,60,3,0,2,0,0.10239066688601818,10
170386,2026-07-01T00:49:22.571268+00:00,micro,60,3,0,2,2,0.14224477310728587,10
170387,2026-07-01T00:49:22.645824+00:00,micro,60,3,2,0,0,0.11350826058613414,10
