id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
164717,2026-06-30T16:01:51.107829+00:00,pilot,20,3,0,0,0,0.6587610320767368,2000
164718,2026-06-30T16:01:51.232415+00:00,pilot,20,3,0,0,2,0.9559558944940137,2000
164719,2026-06-30T16:01:51.346366+00:00,pilot,20,3,0,2,0,0.6616188190484595,2000
164720,2026-06-30T16:01:51.439806+00:00,pilot,20,3,0,2,2,0.959531725020838,2000
164721,2026-06-30T16:01:51.529803+00:00,pilot,20,3,2,0,0,1.1638986413208627,2000
164722,2026-06-30T16:01:51.616032+00:00,pilot,20,3,2,0,2,1.9652015437036743,2000
164723,2026-06-30T16:01:51.701867+00:00,pilot,20,3,2,2,0,1.164926978633035,2000
164724,2026-06-30T16:01:51.793682+00:00,pilot,20,3,2,2,2,1.9602714369034955,2000
164725,2026-06-30T16:01:51.882417+00:00,pilot,20,9.5,0,0,0,0.6457272398389305,2000
164726,2026-06-30T16:01:51.974251+00:00,pilot,20,9.5,0,0,2,0.9484891902760205,2000
164727,2026-06-30T16:01:52.059480+00:00,pilot,20,9.5,0,2,0,0.6485715450223949,2000
164728,2026-06-30T16:01:52.145018+00:00,pilot,20,9.5,0,2,2,0.9632754197664395,2000
164729,2026-06-30T16:01:52.230853+00:00,pilot,20,9.5,2,0,0,1.1563159518717046,2000
164730,2026-06-30T16:01:52.318430+00:00,pilot,20,9.5,2,0,2,1.9667703205949276,2000
164731,2026-06-30T16:01:52.402420+00:00,pilot,20,9.5,2,2,0,1.1632196505640924,2000
164732,2026-06-30T16:01:52.487609+00:00,pilot,20,9.5,2,2,2,1.9622596675682447,2000
164733,2026-06-30T16:01:52.574168+00:00,pilot,60,3,0,0,0,0.6453812815188712,2000
164734,2026-06-30T16:01:52.660170+00:00,pilot,60,3,0,0,2,0.9659562473181001,2000
164735,2026-06-30T16:01:52.742159+00:00,pilot,60,3,0,2,0,0.6430178455613856,2000
164736,2026-06-30T16:01:52.833408+00:00,pilot,60,3,0,2,2,0.9600115461464527,2000
