run_id,variant,with_stabw,best_recipe_T,best_recipe_pH,best_recipe_F1,best_recipe_F2,best_recipe_F3,best_predicted_y_pilot,actual_y_pilot,total_cost,count_micro,count_bench,count_pilot
1,ohne Stabw,0,36.04730814684341,7.741833234345724,1.4315556796840998,0.8090727854881541,1.4163832189608268,18.02653021802703,14.9289869960298,3150.0,115,0,1
1,mit Stabw,1,35.881076016759785,8.22362399875664,0.9169002335443805,0.680775014933731,1.977714344254751,27.720495467135404,19.1363244545709,4130.0,113,2,1
2,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,28.0662367105966,17.465353777910323,3150.0,115,0,1
2,mit Stabw,1,56.148368188878536,7.826854714623856,1.990455447045981,1.7819382048159291,1.997518332877783,6.207082327898316,1.9636814717399056,3150.0,115,0,1
3,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,26.84952955704568,17.47180600224678,3150.0,115,0,1
3,mit Stabw,1,22.56303163178435,5.948921838544949,1.656895216778927,1.7095933228228113,1.9659884737953521,6.08573403259657,1.9362995246623578,3640.0,114,1,1
4,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.678728403765728,17.475751625062962,3150.0,115,0,1
4,mit Stabw,1,35.971898837866036,7.94968798904215,1.275274533337504,0.15184367017245148,1.833153653450138,25.72483894188251,23.06016641295152,4620.0,112,3,1
5,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.757789686154666,17.477192445437886,3150.0,115,0,1
5,mit Stabw,1,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.658999158914046,20.885065496362454,3150.0,115,0,1
6,ohne Stabw,0,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,23.15590838026572,20.88115903327284,3150.0,115,0,1
6,mit Stabw,1,36.251367019754454,6.794422576396608,1.5222561891468585,1.459083282679327,1.9981927945004399,8.100237691932278,4.153344387987816,5110.0,111,4,1
7,ohne Stabw,0,36.23436417970518,8.122278720481074,1.6656989482080156,0.4352767866481808,1.8273272655215405,27.682647631859748,20.723490772000186,3150.0,115,0,1
7,mit Stabw,1,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.830801398723047,17.47265407294061,5110.0,111,4,1
