Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,30.65247344970703,7.0,1.0,1.0,1.0,10,0.12165202661614585
2,micro,44.680763244628906,7.0,1.0,1.0,1.0,10,0.1079918642279917
3,micro,37.09344482421875,7.0,1.0,1.0,1.0,10,0.21014060039600221
4,micro,42.66972732543945,7.0,1.0,1.0,1.0,10,0.13788753563148387
5,micro,55.7794189453125,7.0,1.0,1.0,1.0,10,0.19220478479137035
6,micro,38.92051696777344,7.0,1.0,1.0,1.0,10,0.158610873134987
7,micro,23.5402889251709,7.0,1.0,1.0,1.0,10,0.16557385419731388
8,micro,37.83104705810547,7.0,1.0,1.0,1.0,10,0.16623505675763967
9,micro,27.201650619506836,7.0,1.0,1.0,1.0,10,0.15768940202445633
10,micro,22.93978500366211,7.0,1.0,1.0,1.0,10,0.13253875257525588
11,micro,37.14031982421875,7.0,1.0,1.0,1.0,10,0.18445194604810272
12,micro,37.06599044799805,7.0,1.0,1.0,1.0,10,0.1753311282061087
13,micro,37.24925994873047,7.0,1.0,1.0,1.0,10,0.18340525792314852
14,micro,55.689186096191406,7.0,1.0,1.0,1.0,10,0.15547812950599746
15,micro,55.9442253112793,7.0,1.0,1.0,1.0,10,0.16713521862926148
16,micro,36.937992095947266,7.0,1.0,1.0,1.0,10,0.18331317034209832
17,micro,37.04560470581055,7.0,1.0,1.0,1.0,10,0.22864497899190522
18,micro,36.8452262878418,7.0,1.0,1.0,1.0,10,0.19904587133062324
19,micro,36.73270034790039,7.0,1.0,1.0,1.0,10,0.19935663236193213
20,micro,36.63956069946289,7.0,1.0,1.0,1.0,10,0.20646101919795354
21,micro,36.45315170288086,7.0,1.0,1.0,1.0,10,0.22909090521350037
22,micro,36.011985778808594,7.0,1.0,1.0,1.0,10,0.2552966817399869
23,micro,35.53681564331055,7.0,1.0,1.0,1.0,10,0.23201377805212067
24,micro,35.64800262451172,7.0,1.0,1.0,1.0,10,0.1998062081393071
25,micro,35.872745513916016,7.0,1.0,1.0,1.0,10,0.21083550479668473
26,micro,35.855674743652344,7.0,1.0,1.0,1.0,10,0.22012716785763725
27,micro,35.862117767333984,7.0,1.0,1.0,1.0,10,0.21083792968823106
28,micro,35.86640930175781,7.0,1.0,1.0,1.0,10,0.19471269344740655
29,micro,35.85302734375,7.0,1.0,1.0,1.0,10,0.24248321402182244
30,micro,35.81888198852539,7.0,1.0,1.0,1.0,10,0.20725355816277113
31,micro,36.011985778808594,4.943929195404053,1.0,1.0,1.0,10,0.16102351892968372
32,micro,36.011985778808594,6.18379020690918,1.0,1.0,1.0,10,0.22843354689311854
33,micro,36.011985778808594,5.976064682006836,1.0,1.0,1.0,10,0.19729523576001554
34,micro,36.011985778808594,3.5838141441345215,1.0,1.0,1.0,10,0.10745822409281207
35,micro,36.011985778808594,4.9014434814453125,1.0,1.0,1.0,10,0.16259240983993772
36,micro,36.011985778808594,6.1254987716674805,1.0,1.0,1.0,10,0.19730889393390927
37,micro,36.011985778808594,3.58870792388916,1.0,1.0,1.0,10,0.13825484505702787
38,micro,36.011985778808594,8.938774108886719,1.0,1.0,1.0,10,0.16905760402410608
39,micro,36.011985778808594,5.194550514221191,1.0,1.0,1.0,10,0.21102980869293103
40,micro,36.011985778808594,6.4658589363098145,1.0,1.0,1.0,10,0.14182299056446618
41,micro,36.011985778808594,6.227089881896973,1.0,1.0,1.0,10,0.15975551494552623
42,micro,36.011985778808594,5.2575602531433105,1.0,1.0,1.0,10,0.22052659279372872
43,micro,36.011985778808594,5.309539794921875,1.0,1.0,1.0,10,0.23573151294844263
44,micro,36.011985778808594,5.37690544128418,1.0,1.0,1.0,10,0.20979391953384088
45,micro,36.011985778808594,5.30307149887085,1.0,1.0,1.0,10,0.20519003733976726
46,micro,36.011985778808594,5.302118301391602,1.0,1.0,1.0,10,0.22557187738151852
47,micro,36.011985778808594,5.301321029663086,1.0,1.0,1.0,10,0.2086320316688887
48,micro,36.011985778808594,5.2994303703308105,1.0,1.0,1.0,10,0.21558799645849244
49,micro,36.011985778808594,5.29701042175293,1.0,1.0,1.0,10,0.18904769283348571
50,micro,36.011985778808594,5.307963848114014,1.0,1.0,1.0,10,0.22957624679583183
51,micro,36.011985778808594,5.319063186645508,1.0,1.0,1.0,10,0.16713886478457057
52,micro,36.011985778808594,5.261765480041504,1.0,1.0,1.0,10,0.21502462066003958
53,micro,36.011985778808594,5.256514549255371,1.0,1.0,1.0,10,0.20984412289103574
